iter	Logloss
0	0.6517003759
1	0.6196368488
2	0.5990035974
3	0.5797820887
4	0.5627707628
5	0.5475175585
6	0.537201256
7	0.5300109371
8	0.519874399
9	0.5126238642
10	0.5066121446
11	0.5010554198
12	0.4973923791
13	0.492831957
14	0.4906342222
15	0.4878962759
16	0.4849166317
17	0.4822377627
18	0.480680943
19	0.4798792004
20	0.4775332937
21	0.4751514575
22	0.4735558378
23	0.4725289079
24	0.4707836893
25	0.4706346372
26	0.4688707693
27	0.4675436137
28	0.4672278737
29	0.4667735066
30	0.4663384177
31	0.4650698215
32	0.4641761202
33	0.4625575943
34	0.4614480352
35	0.4611081036
36	0.4602816097
37	0.4601488511
38	0.4601402809
39	0.4597324775
40	0.4596085843
41	0.4593479036
42	0.4589697885
43	0.4588411369
44	0.4574959379
45	0.4574667444
46	0.4567144793
47	0.4567110631
48	0.4564340753
49	0.4556192886
50	0.4554515291
51	0.4545975722
52	0.4545101615
53	0.4541640344
54	0.4540199117
55	0.4539220774
56	0.4538556821
57	0.4525997701
58	0.452195604
59	0.4518538687
60	0.4518383538
61	0.4517957843
62	0.4512811681
63	0.4512629518
64	0.4503594425
65	0.4501770583
66	0.4487897174
67	0.4484942653
68	0.447845144
69	0.447769098
70	0.4477690895
71	0.447666108
72	0.4475089587
73	0.447458252
74	0.4471302381
75	0.4468072581
76	0.4460708707
77	0.4457166942
78	0.4451231798
79	0.4450175084
80	0.444583027
81	0.4435981382
82	0.4429180482
83	0.442641627
84	0.4424360895
85	0.4411974066
86	0.4400687674
87	0.4399613847
88	0.4391369211
89	0.4391082752
90	0.4380887101
91	0.4378974388
92	0.4374131027
93	0.4367369915
94	0.4358961872
95	0.4355767068
96	0.4345297745
97	0.4337027489
98	0.4333080773
99	0.4325077836
100	0.4319438381
101	0.4305878811
102	0.4302549081
103	0.4298656559
104	0.4287010957
105	0.428528296
106	0.4276044947
107	0.4273354143
108	0.4269135884
109	0.4266234376
110	0.4260931215
111	0.4253798533
112	0.4249051296
113	0.424714532
114	0.4241698467
115	0.4233539782
116	0.4228193711
117	0.4222606237
118	0.4219719253
119	0.4214475629
120	0.420859803
121	0.4197546872
122	0.419490982
123	0.4194567953
124	0.4191847975
125	0.4183553486
126	0.4180374205
127	0.4174205031
128	0.4162448041
129	0.4154357641
130	0.4152338093
131	0.4147898494
132	0.4135117384
133	0.4123840578
134	0.4117928526
135	0.4113414828
136	0.4109379026
137	0.4107352356
138	0.4106174496
139	0.4101510171
140	0.4099270394
141	0.4086798274
142	0.4079988996
143	0.4075634927
144	0.4074431326
145	0.4071693775
146	0.4070475825
147	0.4063294348
148	0.4057357524
149	0.4053204477
150	0.4048813811
151	0.4048674903
152	0.4040229061
153	0.4029585519
154	0.4021627654
155	0.4020592242
156	0.4013460235
157	0.4003683258
158	0.4001155132
159	0.3997532062
160	0.3991295828
161	0.3987112771
162	0.3981541289
163	0.3981348565
164	0.3979622523
165	0.3977797645
166	0.3975322078
167	0.3969019689
168	0.3964224486
169	0.3958871683
170	0.3950025304
171	0.3949668487
172	0.3941196896
173	0.3938358272
174	0.3932121067
175	0.3925869255
176	0.3921928634
177	0.3918411397
178	0.391782299
179	0.3908749772
180	0.3905981986
181	0.3896853991
182	0.3895755275
183	0.3885323396
184	0.3882797311
185	0.387942685
186	0.3870250788
187	0.3864924092
188	0.3859248694
189	0.3856540802
190	0.3852548654
191	0.384169976
192	0.3833006874
193	0.3831081595
194	0.3820214661
195	0.3814483981
196	0.3812001068
197	0.3809802662
198	0.3806865242
199	0.380105183
200	0.3792033756
201	0.3786719837
202	0.3784029893
203	0.3779967776
204	0.377532305
205	0.3770584562
206	0.376209465
207	0.3758518924
208	0.3750444046
209	0.3744306333
210	0.3740346695
211	0.3734778035
212	0.3732110903
213	0.3729674538
214	0.3725572277
215	0.3720891389
216	0.3718339994
217	0.371632196
218	0.3709700649
219	0.3707992376
220	0.3706382224
221	0.3698685428
222	0.3694459705
223	0.3691663803
224	0.369130649
225	0.3686927043
226	0.3682431294
227	0.3674057066
228	0.3670956795
229	0.3667991301
230	0.366647021
231	0.3662086666
232	0.3656016402
233	0.3650686764
234	0.3649882978
235	0.3648827094
236	0.3644923804
237	0.364442285
238	0.3640447597
239	0.3637587107
240	0.363442091
241	0.363203498
242	0.3626729564
243	0.3622118111
244	0.3615883512
245	0.3612793093
246	0.3609086886
247	0.3606671036
248	0.3603580405
249	0.359860863
250	0.3595300268
251	0.3590932878
252	0.3587207448
253	0.358387799
254	0.3580928798
255	0.3577245335
256	0.3574161521
257	0.3573261462
258	0.356747504
259	0.3564357397
260	0.3559196018
261	0.3553965006
262	0.3552695177
263	0.3550334843
264	0.3547523896
265	0.3541756596
266	0.3531868423
267	0.3526065946
268	0.3523189168
269	0.3517830877
270	0.3512105574
271	0.3510333777
272	0.350568253
273	0.3501551411
274	0.3498024689
275	0.3494876539
276	0.3489564297
277	0.3486069445
278	0.3482142622
279	0.3481407645
280	0.3479168573
281	0.3474360951
282	0.3470104653
283	0.3463044992
284	0.3456307507
285	0.3454243851
286	0.3453077948
287	0.3449243318
288	0.3445085106
289	0.3442406206
290	0.3433872797
291	0.3429154328
292	0.3424223705
293	0.3418320283
294	0.3412129998
295	0.3407030378
296	0.340350617
297	0.339735392
298	0.3396158321
299	0.3390661162
300	0.3388025697
301	0.3386603116
302	0.3381772723
303	0.337631528
304	0.3372014901
305	0.3371798985
306	0.336918129
307	0.3361419217
308	0.3357004622
309	0.3353161241
310	0.3347956598
311	0.3343408699
312	0.3342527609
313	0.3340952079
314	0.3340725165
315	0.3335408667
316	0.333256546
317	0.3328845601
318	0.3324992418
319	0.3323928871
320	0.332086731
321	0.3320003723
322	0.3316659617
323	0.331267224
324	0.3310477886
325	0.3307202858
326	0.3302446677
327	0.3299160227
328	0.3297090825
329	0.3291736574
330	0.3289732553
331	0.32859734
332	0.3279783539
333	0.327628219
334	0.327558315
335	0.3273717833
336	0.3270912044
337	0.3267294676
338	0.326589387
339	0.3262304661
340	0.3257296391
341	0.3255074066
342	0.3254363302
343	0.325235497
344	0.3251502227
345	0.3248316681
346	0.324480111
347	0.3241226885
348	0.3238820013
349	0.3232854145
350	0.3230061434
351	0.3227241081
352	0.3224472687
353	0.3220957887
354	0.3216443371
355	0.3215521041
356	0.321366874
357	0.3209965654
358	0.3209582136
359	0.3208199314
360	0.3205160656
361	0.3203235265
362	0.320151012
363	0.3198320367
364	0.3193583228
365	0.3190331925
366	0.3186448834
367	0.3184654963
368	0.318191505
369	0.3177910222
370	0.3175208314
371	0.3169453923
372	0.3168449269
373	0.3165854716
374	0.316121851
375	0.3158247565
376	0.3156007162
377	0.315283356
378	0.3149951364
379	0.3148821282
380	0.3147454977
381	0.3145549304
382	0.3142299043
383	0.3138600504
384	0.3137368808
385	0.3136685644
386	0.3130312636
387	0.3126594696
388	0.3122217082
389	0.3121624097
390	0.3116635879
391	0.3113600378
392	0.3109913005
393	0.3106697727
394	0.3105332166
395	0.3101724622
396	0.3100508103
397	0.3097570666
398	0.3091827923
399	0.3090784303
400	0.308804223
401	0.308481595
402	0.308302132
403	0.3082192227
404	0.308004817
405	0.3078627814
406	0.3076316499
407	0.3072764833
408	0.3068971659
409	0.3065436568
410	0.3062971267
411	0.3059788959
412	0.3054986266
413	0.3053884331
414	0.3047767653
415	0.3044855898
416	0.3042708409
417	0.3041088642
418	0.3039214563
419	0.3038456079
420	0.3036578149
421	0.3034669136
422	0.3033674208
423	0.3032057579
424	0.3031813226
425	0.3027557643
426	0.3023887675
427	0.3021101283
428	0.3018569198
429	0.3017614861
430	0.3011334222
431	0.3009544982
432	0.3008225485
433	0.3005679568
434	0.3002957347
435	0.3000380965
436	0.2997675187
437	0.2996290924
438	0.2991171314
439	0.2987799366
440	0.2986063067
441	0.2984679513
442	0.298257671
443	0.2978850649
444	0.2975797799
445	0.2972612138
446	0.2970119407
447	0.2967197051
448	0.2965167679
449	0.2962621757
450	0.2960238816
451	0.2958396776
452	0.2953621745
453	0.2950600786
454	0.2949514623
455	0.2947362264
456	0.2944664043
457	0.2939167041
458	0.2936496556
459	0.2935968121
460	0.2935454976
461	0.2933404809
462	0.2929982036
463	0.2927099561
464	0.2922668175
465	0.2920353346
466	0.2919401648
467	0.2917120302
468	0.2914931053
469	0.2913778591
470	0.2913322149
471	0.2910195334
472	0.2904474175
473	0.290118943
474	0.2898188832
475	0.2895913488
476	0.2895053942
477	0.2893367216
478	0.2890435862
479	0.2889457107
480	0.2886852353
481	0.2884571826
482	0.2881644295
483	0.2875281783
484	0.2872228543
485	0.2870452945
486	0.2869261915
487	0.2867548082
488	0.2865491058
489	0.2861913736
490	0.2861413069
491	0.2853870743
492	0.2850229991
493	0.2849309943
494	0.2844147729
495	0.2842812975
496	0.2838451924
497	0.2836598944
498	0.282992531
499	0.2825866941
