iter	Passed	Remaining
0	186	92828
1	211	52698
2	227	37759
3	248	30819
4	268	26585
5	294	24288
6	316	22311
7	333	20507
8	358	19580
9	384	18838
10	410	18262
11	437	17790
12	455	17079
13	487	16937
14	509	16473
15	533	16132
16	556	15801
17	581	15566
18	601	15234
19	622	14935
20	646	14751
21	670	14563
22	695	14424
23	723	14345
24	747	14194
25	756	13798
26	780	13667
27	807	13608
28	844	13723
29	864	13545
30	877	13276
31	903	13217
32	929	13148
33	953	13065
34	977	12984
35	1000	12899
36	1025	12836
37	1038	12628
38	1047	12383
39	1059	12183
40	1067	11953
41	1087	11854
42	1106	11761
43	1118	11596
44	1146	11592
45	1159	11443
46	1183	11410
47	1193	11234
48	1208	11124
49	1237	11141
50	1261	11109
51	1286	11081
52	1295	10927
53	1319	10900
54	1345	10883
55	1354	10736
56	1378	10716
57	1403	10694
58	1431	10702
59	1456	10680
60	1469	10572
61	1478	10441
62	1502	10419
63	1511	10295
64	1534	10269
65	1559	10253
66	1584	10239
67	1609	10221
68	1632	10195
69	1646	10114
70	1651	9981
71	1675	9959
72	1694	9913
73	1703	9808
74	1726	9784
75	1751	9769
76	1776	9758
77	1802	9751
78	1827	9738
79	1837	9645
80	1860	9624
81	1886	9615
82	1910	9598
83	1935	9584
84	1948	9515
85	1973	9499
86	1999	9491
87	2012	9424
88	2037	9408
89	2049	9338
90	2074	9322
91	2091	9273
92	2116	9260
93	2141	9249
94	2166	9236
95	2194	9233
96	2218	9216
97	2243	9201
98	2266	9180
99	2290	9163
100	2315	9149
101	2340	9130
102	2364	9112
103	2389	9098
104	2415	9087
105	2440	9072
106	2463	9048
107	2488	9033
108	2514	9018
109	2551	9047
110	2579	9040
111	2604	9023
112	2630	9010
113	2654	8989
114	2680	8973
115	2704	8954
116	2728	8932
117	2752	8909
118	2776	8890
119	2804	8880
120	2829	8861
121	2853	8839
122	2877	8819
123	2900	8794
124	2933	8801
125	2966	8804
126	2997	8803
127	3026	8795
128	3054	8784
129	3082	8773
130	3110	8760
131	3136	8745
132	3166	8736
133	3225	8810
134	3253	8796
135	3282	8785
136	3311	8773
137	3338	8758
138	3368	8748
139	3401	8747
140	3432	8739
141	3467	8741
142	3493	8720
143	3519	8701
144	3549	8690
145	3579	8678
146	3603	8652
147	3626	8625
148	3652	8603
149	3677	8580
150	3702	8558
151	3731	8542
152	3762	8532
153	3790	8516
154	3820	8502
155	3845	8479
156	3869	8454
157	3894	8430
158	3919	8405
159	3943	8380
160	3968	8355
161	3993	8332
162	4019	8310
163	4054	8306
164	4078	8279
165	4103	8256
166	4128	8233
167	4154	8210
168	4178	8184
169	4206	8165
170	4230	8138
171	4254	8113
172	4278	8087
173	4303	8062
174	4328	8038
175	4352	8012
176	4376	7987
177	4401	7962
178	4426	7937
179	4451	7914
180	4476	7888
181	4500	7864
182	4527	7843
183	4551	7817
184	4577	7793
185	4617	7795
186	4641	7769
187	4665	7742
188	4688	7715
189	4714	7692
190	4739	7668
191	4764	7643
192	4789	7618
193	4814	7594
194	4839	7569
195	4864	7544
196	4891	7523
197	4916	7498
198	4941	7474
199	4965	7448
200	4989	7421
201	5012	7395
